symbol,name,sector,weight
NVDA,NVIDIA CORP,Unknown,0.08003578978692731
AAPL,APPLE INC,Unknown,0.06924206390520357
MSFT,MICROSOFT CORP,Unknown,0.05603255943397239
AMZN,AMAZON.COM INC,Unknown,0.040217129618332674
GOOGL,ALPHABET INC CL A,Unknown,0.03165456041639396
AVGO,BROADCOM INC,Unknown,0.03004662028505758
GOOG,ALPHABET INC CL C,Unknown,0.025434145236689663
META,META PLATFORMS INC CLASS A,Unknown,0.019547692935750788
MU,MICRON TECHNOLOGY INC,Unknown,0.014998463352390775
BRK/B,BERKSHIRE HATHAWAY INC CL B,Unknown,0.014511746511455611
JPM,JPMORGAN CHASE + CO,Unknown,0.014405012908220246
LLY,ELI LILLY + CO,Unknown,0.014226756580986388
TSLA,TESLA INC,Unknown,0.013572542848627384
AMD,ADVANCED MICRO DEVICES,Unknown,0.012037126319039268
XOM,EXXONMOBIL HOLDINGS CORP,Unknown,0.009683292053465046
JNJ,JOHNSON + JOHNSON,Unknown,0.009332684577720966
V,VISA INC CLASS A SHARES,Unknown,0.009276895651948844
WMT,WALMART INC,Unknown,0.007412490606011658
CSCO,CISCO SYSTEMS INC,Unknown,0.007202866770100041
INTC,INTEL CORP,Unknown,0.007117772143814681
MA,MASTERCARD INC   A,Unknown,0.007010888408916851
ABBV,ABBVIE INC,Unknown,0.0064997201245548305
COST,COSTCO WHOLESALE CORP,Unknown,0.006352240788126368
AMAT,APPLIED MATERIALS INC,Unknown,0.006318951594169052
BAC,BANK OF AMERICA CORP,Unknown,0.0062045512673704565
CAT,CATERPILLAR INC,Unknown,0.0059541316543782535
GE,GENERAL ELECTRIC,Unknown,0.0058948496652594376
LRCX,LAM RESEARCH CORP,Unknown,0.0057722121145802425
UNH,UNITEDHEALTH GROUP INC,Unknown,0.005533913131137744
PLTR,PALANTIR TECHNOLOGIES INC A,Unknown,0.005399865574111183
CVX,CHEVRON CORP,Unknown,0.0053435662006866775
HD,HOME DEPOT INC,Unknown,0.0052511951931604964
PG,PROCTER + GAMBLE CO/THE,Unknown,0.005162327257758508
KO,COCA COLA CO/THE,Unknown,0.005072638602601708
MRK,MERCK + CO. INC.,Unknown,0.004784085547343308
NFLX,NETFLIX INC,Unknown,0.004680434647577231
GS,GOLDMAN SACHS GROUP INC,Unknown,0.004594809556084494
RTX,RTX CORP,Unknown,0.004536608514935427
PM,PHILIP MORRIS INTERNATIONAL,Unknown,0.004422488433906766
PANW,PALO ALTO NETWORKS INC,Unknown,0.004399198008669642
GEV,GE VERNOVA INC,Unknown,0.0040544456677617125
WFC,WELLS FARGO + CO,Unknown,0.004021476754684322
MS,MORGAN STANLEY,Unknown,0.003866340703470128
TXN,TEXAS INSTRUMENTS INC,Unknown,0.0038242037502048535
KLAC,KLA CORP,Unknown,0.0038103415933705524
ORCL,ORACLE CORP,Unknown,0.003672080341017464
C,CITIGROUP INC,Unknown,0.0034439903106226084
LIN,LINDE PLC,Unknown,0.003419228595093324
IBM,INTL BUSINESS MACHINES CORP,Unknown,0.0033105833153558996
AMGN,AMGEN INC,Unknown,0.0032948094820195403
TMO,THERMO FISHER SCIENTIFIC INC,Unknown,0.0032533731431791044
CRWD,CROWDSTRIKE HOLDINGS INC   A,Unknown,0.0031875454135767978
APH,AMPHENOL CORP CL A,Unknown,0.0031681383940087766
ANET,ARISTA NETWORKS INC,Unknown,0.0029973486147881964
MCD,MCDONALD S CORP,Unknown,0.0029628183324211656
VZ,VERIZON COMMUNICATIONS INC,Unknown,0.0029616473054539356
STX,SEAGATE TECHNOLOGY HOLDINGS,Unknown,0.002885890868573921
PEP,PEPSICO INC,Unknown,0.002856054702853308
ABT,ABBOTT LABORATORIES,Unknown,0.0028383691930148895
SNDK,SANDISK CORP,Unknown,0.0028113955376586146
MRVL,MARVELL TECHNOLOGY INC,Unknown,0.0027815793894929966
ADI,ANALOG DEVICES INC,Unknown,0.0027804483976357577
BA,BOEING CO/THE,Unknown,0.002762822940462326
AXP,AMERICAN EXPRESS CO,Unknown,0.002752133566094793
DIS,WALT DISNEY CO/THE,Unknown,0.002743766228106724
TJX,TJX COMPANIES INC,Unknown,0.002705032259190664
NEE,NEXTERA ENERGY INC,Unknown,0.0026629453498128778
SCHW,SCHWAB (CHARLES) CORP,Unknown,0.0026565697585468496
UNP,UNION PACIFIC CORP,Unknown,0.0026470914462565377
ETN,EATON CORP PLC,Unknown,0.0026204280630026913
QCOM,QUALCOMM INC,Unknown,0.00255171780548105
WELL,WELLTOWER INC,Unknown,0.002514625276074611
T,AT+T INC,Unknown,0.002486710795633554
BLK,BLACKROCK INC,Unknown,0.002461158386681952
GILD,GILEAD SCIENCES INC,Unknown,0.0024524407414814636
BKNG,BOOKING HOLDINGS INC,Unknown,0.002425667261675143
WDC,WESTERN DIGITAL CORP,Unknown,0.0023483294379504933
DE,DEERE + CO,Unknown,0.0023314646478668857
CRM,SALESFORCE INC,Unknown,0.0023062024934627167
PFE,PFIZER INC,Unknown,0.0022533461394974156
UBER,UBER TECHNOLOGIES INC,Unknown,0.002165278906295242
COP,CONOCOPHILLIPS,Unknown,0.0021471229839144326
