symbol,structure,model_value,market_entry,gross_edge,execution_cost,uncertainty,net_edge,edge_to_uncertainty,probability_positive_edge,max_profit,max_loss,expected_payoff_physical,strike,bid,ask,physical_expected_net,long_strike,short_strike,width,hedge_strike,lower_strike,center_strike,upper_strike
SPY_20260807_C_499,LONG_C,1.8534923592934953,1.5794971300723002,0.2893301528141301,0.021834923592934978,0.08,0.2674952292211951,3.343690365264939,0.9995866402382555,inf,1.5794971300723002,0.0,499.0,1.5028225121076253,1.5641622064793652,-1.5794971300723002,,,,,,,
SPY_20260807_C_497,LONG_C,2.586252049485206,2.3342396109697625,0.2746749590102957,0.029162520494852066,0.08,0.24551243851544363,3.0689054814430454,0.9989257772366521,inf,2.3342396109697625,0.0002288742038423438,497.0,2.220927008495502,2.3115770904749104,-2.33401073676592,,,,,,,
SPY_20260807_C_499/SPY_20260807_C_505,C_DEBIT_VERTICAL,1.3009055007082857,1.0569102714870904,0.2693301528141303,0.038334923592934986,0.08485281374238571,0.2309952292211953,2.722304883400802,0.9967585848524746,4.930089728512909,1.0699102714870903,0.0,,,,-1.0699102714870903,499.0,505.0,6.0,,,,
SPY_20260807_C_499/SPY_20260807_C_503,C_DEBIT_VERTICAL,0.9959005726073039,0.7519053433861088,0.2693301528141301,0.038334923592934986,0.08485281374238571,0.2309952292211951,2.7223048834007995,0.9967585848524746,3.2350946566138914,0.7649053433861088,0.0,,,,-0.7649053433861088,499.0,503.0,4.0,,,,
SPY_20260807_C_499/SPY_20260807_C_507,C_DEBIT_VERTICAL,1.5106967808120146,1.2667015515908195,0.2693301528141301,0.038334923592934986,0.08485281374238571,0.2309952292211951,2.7223048834007995,0.9967585848524746,6.720298448409181,1.2797015515908194,0.0,,,,-1.2797015515908194,499.0,507.0,8.0,,,,
SPY_20260807_C_499/SPY_20260807_C_501,C_DEBIT_VERTICAL,0.5697095334982956,0.3342277890509564,0.2636544962982261,0.041172751850886966,0.08485281374238571,0.22248174444733915,2.621972503148767,0.9956288757978765,1.6527722109490437,0.3472277890509564,0.0,,,,-0.3472277890509564,499.0,501.0,2.0,,,,
SPY_20260807_C_497/SPY_20260807_C_503,C_DEBIT_VERTICAL,1.7286602627990146,1.506647824283571,0.2546749590102957,0.045662520494852074,0.08485281374238571,0.2090124385154436,2.4632352104434414,0.9931155222003729,4.480352175716429,1.519647824283571,0.0002288742038423438,,,,-1.5194189500797286,497.0,503.0,6.0,,,,
SPY_20260807_C_497/SPY_20260807_C_505,C_DEBIT_VERTICAL,2.0336651908999963,1.8116527523845527,0.2546749590102957,0.045662520494852074,0.08485281374238571,0.2090124385154436,2.4632352104434414,0.9931155222003729,6.175347247615448,1.8246527523845526,0.0002288742038423438,,,,-1.8244238781807103,497.0,505.0,8.0,,,,
SPY_20260807_C_497/SPY_20260807_C_501,C_DEBIT_VERTICAL,1.3024692236900064,1.0889702699484187,0.24899930249439173,0.048500348752804054,0.08485281374238571,0.20049895374158766,2.362902830191409,0.9909337884069124,2.898029730051581,1.1019702699484186,0.0002288742038423438,,,,-1.1017413957445763,497.0,501.0,4.0,,,,
SPY_20260807_P_491,LONG_P,2.34523016601093,2.1683870709912583,0.19789539667978095,0.027552301660109406,0.08,0.17034309501967154,2.1292886877458943,0.9833848084282071,inf,2.1683870709912583,0.0,491.0,2.0631255626907112,2.147334769331149,-2.1683870709912583,,,,,,,
SPY_20260807_C_495/SPY_20260807_C_499,C_CREDIT_VERTICAL,1.636364058358913,1.805663595050536,0.21953302446108203,0.06323348776945902,0.08485281374238571,0.156299536691623,1.8420077048493702,0.9672629885681542,1.792663595050536,2.207336404949464,1.43734810271195,,,,1.42434810271195,,495.0,4.0,499.0,,,
SPY_20260807_P_493,LONG_P,3.113751271074501,2.959963809206736,0.1825249745785098,0.03523751271074498,0.08,0.1472874618677648,1.8410932733470602,0.9671960543705557,inf,2.959963809206736,2.4714410495688782e-05,493.0,2.816276245653011,2.931226296495991,-2.95993909479624,,,,,,,
SPY_20260807_C_495/SPY_20260807_C_497,C_CREDIT_VERTICAL,0.9036043681672021,1.0509211141530737,0.20487783065724763,0.0705610846713761,0.08485281374238571,0.1343167459858715,1.582938031892012,0.9432822053985951,1.0379211141530738,0.9620788858469264,0.6828344960183299,,,,0.6698344960183299,,495.0,2.0,497.0,,,
SPY_20260807_C_499/-2xSPY_20260807_C_503/SPY_20260807_C_507,C_BUTTERFLY,0.48110436440259313,0.2971091351813981,0.22933015281413005,0.071334923592935,0.1,0.15799522922119505,1.5799522922119504,0.942941103785614,3.6768908648186023,0.3231091351813981,0.0,,,,-0.3231091351813981,,,,,499.0,503.0,507.0
SPY_20260807_C_499/-2xSPY_20260807_C_505/SPY_20260807_C_511,C_BUTTERFLY,0.8626734114978198,0.6786781822766248,0.22933015281413005,0.071334923592935,0.1,0.15799522922119505,1.5799522922119504,0.942941103785614,5.295321817723376,0.7046781822766248,0.0,,,,-0.7046781822766248,,,,,499.0,505.0,511.0
SPY_20260807_P_491/SPY_20260807_P_483,P_DEBIT_VERTICAL,1.7593137921195512,1.6124706970998797,0.17789539667978094,0.044052301660109414,0.08485281374238571,0.1338430950196715,1.5773560017234192,0.9426431833673338,6.37452930290012,1.6254706970998796,0.0,,,,-1.6254706970998796,491.0,483.0,8.0,,,,
SPY_20260807_P_491/SPY_20260807_P_485,P_DEBIT_VERTICAL,1.4842047328715706,1.337361637851899,0.17789539667978094,0.044052301660109414,0.08485281374238571,0.1338430950196715,1.5773560017234192,0.9426431833673338,4.649638362148101,1.350361637851899,0.0,,,,-1.350361637851899,491.0,485.0,6.0,,,,
SPY_20260807_P_491/SPY_20260807_P_487,P_DEBIT_VERTICAL,1.1109188532835967,0.9711050976457452,0.17320917042523432,0.046395414787382724,0.08485281374238571,0.12681375563785158,1.4945144426543102,0.932479395065925,3.0158949023542547,0.9841050976457452,0.0,,,,-0.9841050976457452,491.0,487.0,4.0,,,,
SPY_20260807_C_493/SPY_20260807_C_499,C_CREDIT_VERTICAL,2.70598061358214,2.8431916536170663,0.19814069335661744,0.07392965332169142,0.08485281374238571,0.12421104003492624,1.4638411451155013,0.9283813212995882,2.8301916536170664,3.1698083463829336,0.7564865768843925,,,,0.7434865768843925,,493.0,6.0,499.0,,,
SPY_20260807_C_497/-2xSPY_20260807_C_503/SPY_20260807_C_509,C_BUTTERFLY,1.073912639336915,0.9119002008214713,0.21467495901029576,0.07866252049485209,0.1,0.13601243851544367,1.3601243851544367,0.9131047172033031,5.062099799178529,0.9379002008214713,0.0002288742038423438,,,,-0.937671326617629,,,,,497.0,503.0,509.0
SPY_20260807_P_491/SPY_20260807_P_489,P_DEBIT_VERTICAL,0.6208940082136767,0.49578099792792285,0.1634086735238358,0.051295663238081976,0.08485281374238571,0.11211301028575384,1.3212644972048948,0.9067934063008174,1.4912190020720772,0.5087809979279229,0.0,,,,-0.5087809979279229,491.0,489.0,2.0,,,,
SPY_20260807_P_493/SPY_20260807_P_485,P_DEBIT_VERTICAL,2.2527258379351416,2.128938376067377,0.16252497457850978,0.05173751271074499,0.08485281374238571,0.11078746186776457,1.3056427592857063,0.9041629639555995,5.858061623932623,2.141938376067377,2.4714410495688782e-05,,,,-2.141913661656881,493.0,485.0,8.0,,,,
SPY_20260807_P_493/SPY_20260807_P_487,P_DEBIT_VERTICAL,1.8794399583471677,1.7626818358612228,0.15783874832396316,0.0540806258380183,0.08485281374238571,0.10375812248594486,1.2228012002166,0.8892976039792101,4.2243181641387775,1.7756818358612227,2.4714410495688782e-05,,,,-1.775657121450727,493.0,487.0,6.0,,,,
